Posicion;Nombre;Puntos;W;L;D
1;Jannick Kravetz;12;4;1;0
2;Enzo Cassanello;12;4;1;0
3;Yury Shmyrov;11;3;0;2
4;Roberto Casco;10;3;1;1
5;Patrick Wiens;9;3;2;0
6;Rodolfo Riego Macchi;9;3;2;0
7;Zunú Cantero;9;3;2;0
8;Walter Fisch;9;3;2;0
9;Martin Caceres;9;3;2;0
10;Marcelo Galeano;8;2;1;2
11;Alvaro Franco Blanco;8;2;1;2
12;Guillermo Benitez;6;2;3;0
13;Nico Ruiz;6;2;3;0
14;Remigio Gonzalez;6;2;3;0
15;William Kennedy;6;2;3;0
16;Alejandro Vazquez;6;2;3;0
17;Blas Ledesma;6;2;3;0
18;Andrés Lonzayes;6;2;3;0
19;Franco Goiburu;4;1;3;1
20;Aldo Giménez;3;1;4;0
21;Gabriela Céspedes;3;1;3;0
22;Benja Ouneissi;0;0;4;0
