Posicion;Nombre;Puntos;W;L;D
1;Patrick Wiens;13;4;0;1
2;Rodolfo Riego Macchi;13;4;0;1
3;Jannick Kravetz;12;4;1;0
4;enzo cassanello;10;3;1;1
5;Yury Shmyrov;10;3;1;1
6;daniel rivas;9;3;2;0
7;Oscar Fadlala;9;3;2;0
8;Diego Gonzalez;9;3;2;0
9;lonzayes;9;3;2;0
10;Fabian Delgado;8;2;1;2
11;Alvaro Franco Blanco;7;2;2;1
12;Marcelo Galeano;7;2;2;1
13;Barco;6;2;3;0
14;Crido;6;2;3;0
15;William Kennedy;6;2;3;0
16;Aldo Giménez;6;2;3;0
17;Fer Cáceres;6;2;3;0
18;Roberto Casco;6;2;3;0
19;Guillermo Benitez;3;1;4;0
20;Katia Lopez;3;1;4;0
21;Levy Hurtado;3;1;4;0
